trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
loop: 0_option: 2,090233,1004,2023-05-03,0.4,0,8,9,2565.4,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-6
loop: 0_option: 3,090236,1004,2023-05-03,0.4,0,8,9,2611.2000000000003,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,0,-8
loop: 0_option: 4,090240,1004,2023-05-03,0.4,0,8,9,1445.4,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-6
loop: 0_option: 5,090242,1004,2023-05-03,0.4,1,8,9,2035.6999999999998,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,0,-13
loop: 0_option: 6,090244,1004,2023-05-03,0.4,0,8,9,1237.8,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 7,090246,1004,2023-05-03,0.4,0,8,9,1027.6000000000001,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,0,-8
loop: 0_option: 8,090247,1004,2023-05-03,0.4,1,8,9,1157.5,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 9,090249,1004,2023-05-03,0.4,0,8,9,865.9,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 10,090250,1004,2023-05-03,0.4,1,8,9,2259.7,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 11,090253,1004,2023-05-03,0.4,1,8,9,643.2,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,0,-13
loop: 1_option: 0,090312,1004,2023-05-03,0.4,0,8,9,5455.0,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,1,-13
loop: 1_option: 1,090317,1004,2023-05-03,0.4,1,8,9,5763.4,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,1,-14
loop: 1_option: 2,090324,1004,2023-05-03,0.4,0,8,9,1349.3,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,1,-8
loop: 1_option: 3,090326,1004,2023-05-03,0.4,0,8,9,915.5,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,1,-8
loop: 1_option: 4,090327,1004,2023-05-03,0.4,0,8,9,967.0999999999999,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,1,-7
loop: 1_option: 5,090328,1004,2023-05-03,0.4,0,8,9,803.5,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,1,-6
loop: 1_option: 6,090330,1004,2023-05-03,0.4,1,8,9,597.1999999999999,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,1,-13
loop: 1_option: 7,090331,1004,2023-05-03,0.4,1,8,9,978.4000000000001,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,1,-12
